epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.435,1.112,2.29419,1.20146,0.49879,0.36656,0.31513,0.21583,1.11991,2.98513,1.24904,0.0671493,0.000331825,0.000331825
2,320.809,1.07783,1.48434,1.17208,0.60242,0.45074,0.48615,0.3335,1.00654,1.28066,1.12969,0.0341427,0.000658507,0.000658507
3,484.613,1.09882,1.41093,1.17533,0.73734,0.41214,0.49675,0.35579,1.03405,1.37509,1.14408,0.00112935,0.000978524,0.000978524
4,646.372,1.08074,1.30699,1.16191,0.77675,0.48194,0.56027,0.38081,1.01046,1.2022,1.11025,0.000970003,0.000970003,0.000970003
5,807.033,1.05955,1.21556,1.15281,0.7566,0.47527,0.55306,0.38457,0.93307,1.11989,1.07562,0.000960004,0.000960004,0.000960004
6,968.223,0.99983,1.15333,1.12032,0.72905,0.50957,0.57992,0.41106,0.93973,1.02295,1.06133,0.000950005,0.000950005,0.000950005
7,1131.31,0.9715,1.08627,1.10304,0.70516,0.49691,0.57788,0.42022,0.88519,1.01286,1.03086,0.000940006,0.000940006,0.000940006
8,1291.56,0.94882,1.05011,1.08155,0.79746,0.55857,0.63859,0.46249,0.83846,0.93768,1.00017,0.000930007,0.000930007,0.000930007
9,1452.66,0.91649,0.99355,1.07803,0.7705,0.58308,0.65286,0.47,0.8327,0.87485,1.01594,0.000920008,0.000920008,0.000920008
10,1613.34,0.91865,0.97414,1.0691,0.80794,0.55535,0.63632,0.4475,0.86526,0.87989,1.02655,0.000910009,0.000910009,0.000910009
11,1774.49,0.89557,0.94498,1.06404,0.89664,0.53551,0.66207,0.49059,0.80217,0.89388,0.99057,0.00090001,0.00090001,0.00090001
12,1939.2,0.88915,0.90219,1.04605,0.80829,0.61313,0.675,0.48832,0.79279,0.8305,0.99054,0.000890011,0.000890011,0.000890011
13,2100.77,0.85308,0.84774,1.02678,0.8248,0.57973,0.65355,0.49822,0.76259,0.85083,0.97482,0.000880012,0.000880012,0.000880012
14,2265,0.83412,0.83863,1.0227,0.81021,0.58601,0.6658,0.49238,0.79593,0.8133,0.99699,0.000870013,0.000870013,0.000870013
15,2429.44,0.82329,0.82907,1.01762,0.84138,0.60641,0.69485,0.52113,0.71931,0.71645,0.95642,0.000860014,0.000860014,0.000860014
16,2592.47,0.80798,0.79299,1.0111,0.80948,0.62199,0.67812,0.51452,0.7348,0.77938,0.96386,0.000850015,0.000850015,0.000850015
17,2754.64,0.81279,0.80758,1.01539,0.85495,0.57779,0.67583,0.51237,0.74646,0.80355,0.9823,0.000840016,0.000840016,0.000840016
18,2915.94,0.7954,0.78033,0.9909,0.81697,0.61329,0.69708,0.53055,0.71019,0.71993,0.95545,0.000830017,0.000830017,0.000830017
19,3079.76,0.77256,0.75465,0.99487,0.86856,0.6108,0.69991,0.53352,0.70095,0.72589,0.94886,0.000820018,0.000820018,0.000820018
20,3243.75,0.77152,0.74766,0.99,0.84892,0.59994,0.69,0.52696,0.70056,0.72941,0.95605,0.000810019,0.000810019,0.000810019
21,3405.16,0.75494,0.71815,0.98158,0.88709,0.60763,0.70554,0.53128,0.73312,0.70773,0.9634,0.00080002,0.00080002,0.00080002
22,3569.86,0.74267,0.70504,0.97928,0.8692,0.63367,0.71291,0.55551,0.66919,0.66984,0.93468,0.000790021,0.000790021,0.000790021
23,3732.82,0.74667,0.68999,0.97269,0.85709,0.63983,0.70882,0.54908,0.67745,0.65748,0.93568,0.000780022,0.000780022,0.000780022
24,3891.69,0.72775,0.67586,0.96734,0.86522,0.64585,0.73568,0.56248,0.67876,0.6267,0.93538,0.000770023,0.000770023,0.000770023
25,4054.83,0.72536,0.67294,0.97327,0.90937,0.62652,0.7178,0.54511,0.66092,0.65531,0.92477,0.000760024,0.000760024,0.000760024
26,4216.78,0.72203,0.66915,0.96188,0.85768,0.67753,0.73775,0.55362,0.68106,0.64401,0.93334,0.000750025,0.000750025,0.000750025
27,4379.49,0.73659,0.67186,0.96885,0.89323,0.64061,0.72947,0.55307,0.66112,0.65229,0.92494,0.000740026,0.000740026,0.000740026
28,4540.72,0.70138,0.6343,0.9577,0.87764,0.62606,0.71617,0.55951,0.65052,0.64813,0.92332,0.000730027,0.000730027,0.000730027
29,4701.8,0.70377,0.64987,0.95695,0.87405,0.64922,0.72552,0.56295,0.66547,0.63207,0.93102,0.000720028,0.000720028,0.000720028
